Bins,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.7,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0.6667,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0.3542,0.5625,0.0833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0.1148,0.8033,0.0656,0.0164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0.6863,0.2157,0.0588,0.0196,0.0196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0.2308,0.3846,0.2308,0.0769,0.0513,0.0256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0.0625,0.2813,0.3125,0.2813,0.0313,0.0313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0.0175,0.3333,0.4211,0.2105,0.0175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0.1136,0.2273,0.4091,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0.0313,0.1719,0.3125,0.2969,0.1094,0.0625,0.0156,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0.0317,0.1746,0.3968,0.2381,0.127,0.0317,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0.0526,0.25,0.3158,0.2763,0.0789,0.0263,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0.0541,0.2568,0.3108,0.2838,0.0811,0.0135,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0.0526,0.2281,0.1842,0.307,0.1579,0.0702,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0.0286,0.0571,0.2143,0.3,0.2429,0.1,0.0286,0.0286,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0.1186,0.3051,0.4237,0.1017,0.0169,0.0339,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0.1136,0.1818,0.1818,0.1591,0.1591,0.0455,0.0909,0.0455,0.0227,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0.0833,0.1111,0.1944,0.1389,0.1389,0.1389,0.1667,0.0278,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0.0541,0.0811,0.2162,0.1351,0.0541,0.1622,0.0541,0.0811,0.0811,0.027,0.027,0.027,0,0
131,0,0,0,0,0,0,0,0,0,0,0.0882,0.1176,0.1471,0.1176,0.0294,0.1176,0.1471,0.1176,0.0294,0,0.0882,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0.1154,0,0.2308,0.1538,0.2308,0.1538,0.0385,0.0769,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,0.0286,0.0571,0.1429,0.1429,0.2286,0.1714,0.1143,0,0.0857,0.0286,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0.1081,0.1622,0.1622,0.1351,0.0541,0.1892,0.1622,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435,0.1304,0.087,0.087,0.1304,0.3478,0,0.087,0.087,0
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769,0.0769,0.1538,0.0769,0.1538,0.0769,0.3077,0,0.0769
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.1667,0.1667,0.0833,0.1667,0.1667,0
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.125,0.5,0.25,0,0
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0.25,0.375,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0.1667,0.3333,0.1667,0.1667
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0.3333,0,0.3333
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.25
